,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
8001,21400,2017.0,subaru outback,excellent,4.0,gas,29282.0,automatic,wagon,red,1.0,2018-05-12,33
8009,27500,2015.0,chevrolet silverado,like new,8.0,gas,56000.0,manual,pickup,white,1.0,2018-05-21,10
8012,32595,2015.0,cadillac escalade,like new,8.0,gas,77000.0,automatic,SUV,white,1.0,2018-12-01,15
8014,28900,2017.0,ford f150 supercrew cab xlt,good,6.0,gas,49225.0,automatic,pickup,white,1.0,2018-12-21,25
8030,18900,2017.0,toyota rav4,excellent,4.0,gas,33100.0,automatic,SUV,white,1.0,2019-04-14,18
8031,8999,2008.0,chevrolet silverado 1500,excellent,8.0,gas,178921.0,automatic,pickup,white,1.0,2019-04-04,120
8034,2995,1996.0,jeep grand cherokee,excellent,6.0,gas,216582.0,automatic,SUV,grey,1.0,2019-04-07,52
8035,10000,1998.0,ram 2500,good,6.0,diesel,214000.0,automatic,pickup,red,1.0,2018-06-09,50
8036,3995,2003.0,ford explorer,excellent,6.0,gas,130000.0,automatic,SUV,white,1.0,2019-03-28,69
8039,3995,2003.0,ford escape,good,6.0,gas,170000.0,automatic,SUV,grey,1.0,2018-11-02,35
8043,6906,2007.0,toyota rav4,excellent,4.0,gas,168517.0,automatic,SUV,blue,1.0,2018-08-14,9
8045,9750,2003.0,chevrolet silverado 2500hd,like new,8.0,diesel,195442.0,automatic,truck,white,1.0,2018-12-19,28
8049,14999,2012.0,bmw x5,excellent,6.0,gas,68000.0,automatic,SUV,blue,1.0,2019-04-14,68
8050,23999,2015.0,bmw x5,excellent,6.0,gas,69000.0,automatic,SUV,white,1.0,2018-05-06,44
8058,11000,2001.0,jeep wrangler,excellent,6.0,gas,124000.0,automatic,SUV,red,1.0,2018-05-14,32
8061,5707,2007.0,ford fusion se,excellent,6.0,gas,152381.0,automatic,sedan,silver,1.0,2018-06-05,22
8065,23500,2012.0,ford f-150,excellent,8.0,gas,68900.0,automatic,pickup,white,1.0,2018-08-22,32
8067,17500,2006.0,ram 3500,good,6.0,diesel,257000.0,automatic,truck,silver,1.0,2018-12-01,3
8069,48000,2018.0,chevrolet silverado,like new,8.0,diesel,36000.0,automatic,truck,white,1.0,2019-03-16,41
8073,16500,2010.0,chevrolet silverado 1500,like new,8.0,gas,121498.0,automatic,pickup,white,1.0,2018-05-14,33
8074,12908,2008.0,chevrolet silverado,excellent,8.0,gas,138850.0,automatic,truck,silver,1.0,2019-01-06,23
8075,13904,2011.0,chevrolet silverado,excellent,8.0,diesel,206927.0,automatic,truck,red,1.0,2019-03-27,56
8076,12911,2011.0,gmc sierra 1500,excellent,8.0,gas,196241.0,automatic,truck,silver,1.0,2018-11-12,59
8080,2295,2000.0,toyota 4runner,good,6.0,gas,288411.0,automatic,SUV,silver,1.0,2019-04-07,44
8085,8400,2003.0,gmc sierra 1500,like new,8.0,gas,191500.0,automatic,pickup,black,1.0,2018-12-23,26
8087,11500,2005.0,ford f-250,good,8.0,diesel,258000.0,automatic,truck,white,1.0,2018-09-05,34
8088,6000,2001.0,toyota tacoma,good,6.0,gas,282404.0,manual,truck,silver,1.0,2018-07-04,66
8091,10911,2011.0,ford explorer,excellent,6.0,gas,161464.0,automatic,SUV,silver,1.0,2019-02-09,43
8109,6600,2001.0,jeep wrangler,excellent,6.0,gas,99000.0,manual,SUV,red,1.0,2019-04-07,7
8114,1500,1992.0,jeep cherokee,fair,4.0,gas,133900.0,automatic,SUV,white,1.0,2018-08-29,10
8119,10988,2003.0,ford f250 super duty,excellent,8.0,gas,212837.0,automatic,pickup,black,1.0,2018-07-07,36
8121,10500,2007.0,ford f250 super duty,excellent,8.0,gas,196000.0,automatic,truck,white,1.0,2019-03-10,18
8124,32997,2017.0,chevrolet silverado 1500,excellent,8.0,gas,28532.0,automatic,truck,custom,1.0,2018-08-17,14
8128,26997,2016.0,gmc sierra 1500,excellent,8.0,gas,29296.0,automatic,truck,custom,1.0,2018-06-16,50
8130,14500,2015.0,ford edge,excellent,4.0,gas,99500.0,automatic,SUV,red,1.0,2018-10-30,54
8135,7500,1998.0,jeep wrangler,excellent,4.0,gas,134245.0,manual,SUV,white,1.0,2018-07-23,18
8142,4900,2005.0,subaru outback,good,4.0,gas,176307.0,automatic,wagon,silver,1.0,2019-03-06,44
8143,25900,2015.0,chevrolet silverado 1500,like new,8.0,gas,91000.0,automatic,pickup,brown,1.0,2018-07-20,14
8148,5990,2009.0,nissan murano,excellent,6.0,gas,147845.0,automatic,SUV,white,1.0,2018-08-01,9
8154,28998,2015.0,chevrolet silverado 3500hd,excellent,8.0,diesel,123742.0,automatic,other,white,1.0,2018-12-06,44
8157,31998,2019.0,jeep wrangler,excellent,6.0,gas,15890.0,automatic,SUV,white,1.0,2019-04-09,49
8163,23000,2015.0,chevrolet silverado 1500,good,8.0,gas,98500.0,automatic,pickup,white,1.0,2018-06-05,120
8165,6200,2006.0,bmw x5,good,6.0,gas,133113.0,automatic,SUV,black,1.0,2018-06-27,71
8170,3700,1998.0,dodge dakota,good,6.0,gas,203000.0,automatic,pickup,black,1.0,2019-03-12,18
8172,11700,2008.0,toyota 4runner,excellent,6.0,gas,147301.0,automatic,SUV,silver,1.0,2018-11-14,24
8182,10500,2003.0,jeep wrangler,good,6.0,gas,161100.0,manual,SUV,black,1.0,2018-07-13,24
8187,11988,1999.0,ford f-250,excellent,8.0,diesel,173071.0,automatic,truck,white,1.0,2019-04-07,31
8188,8000,2005.0,chevrolet silverado,good,8.0,gas,153000.0,automatic,truck,grey,1.0,2018-07-04,78
8189,2500,2002.0,ram 1500,good,8.0,gas,170000.0,automatic,truck,black,1.0,2018-08-14,32
8191,15800,2010.0,chevrolet silverado,good,8.0,gas,130500.0,automatic,pickup,white,1.0,2019-02-10,21
8193,10500,2012.0,nissan frontier,excellent,6.0,gas,135000.0,automatic,truck,grey,1.0,2019-04-09,26
8195,7850,2010.0,subaru forester,excellent,4.0,gas,131115.0,automatic,wagon,white,1.0,2019-02-22,130
8196,21000,2016.0,ram 1500,good,6.0,gas,40485.0,automatic,truck,white,1.0,2019-04-07,11
8200,13995,2011.0,chevrolet tahoe,excellent,8.0,other,95100.0,automatic,SUV,black,1.0,2018-09-26,56
8201,5988,2004.0,cadillac escalade,excellent,8.0,gas,156380.0,automatic,SUV,white,1.0,2018-11-21,73
8203,35500,2016.0,ram 2500,like new,6.0,diesel,161600.0,automatic,truck,black,1.0,2018-11-27,21
8206,47995,2018.0,ford f-250 sd,good,8.0,diesel,7073.0,automatic,truck,silver,1.0,2018-07-08,32
8222,5500,2001.0,jeep cherokee,good,6.0,gas,149000.0,automatic,SUV,white,1.0,2018-11-17,19
8230,7980,2010.0,chevrolet equinox,good,4.0,gas,131660.0,automatic,SUV,grey,1.0,2018-09-29,78
8233,19475,2008.0,chevrolet silverado 2500hd,excellent,8.0,diesel,125792.0,automatic,pickup,black,1.0,2019-01-15,22
8237,10000,1997.0,ford f250 super duty,good,8.0,diesel,247000.0,automatic,truck,white,1.0,2018-11-04,24
8242,2500,2003.0,chevrolet silverado,good,8.0,gas,203000.0,automatic,pickup,silver,1.0,2018-08-26,8
8248,49750,2016.0,ram 3500,excellent,6.0,diesel,47020.0,automatic,truck,silver,1.0,2018-08-13,3
8254,38000,2015.0,ram 3500,good,6.0,diesel,49000.0,automatic,pickup,white,1.0,2019-02-06,43
8260,900,1996.0,jeep cherokee,fair,6.0,gas,250000.0,automatic,wagon,black,1.0,2018-07-11,48
8262,20500,2006.0,jeep wrangler unlimited,excellent,6.0,gas,71500.0,automatic,offroad,blue,1.0,2018-07-10,63
8264,29998,2015.0,ford f-150,excellent,8.0,gas,42964.0,automatic,truck,black,1.0,2018-06-13,53
8267,1850,2014.0,ram 1500,excellent,8.0,gas,142483.0,automatic,truck,brown,1.0,2018-12-10,34
8276,3200,2004.0,chevrolet tahoe,good,8.0,gas,184656.0,automatic,SUV,black,1.0,2019-03-05,21
8280,10995,2013.0,subaru outback,excellent,4.0,gas,143707.0,automatic,wagon,blue,1.0,2018-12-27,40
8288,5500,2009.0,ford f-150,good,8.0,gas,244560.0,automatic,pickup,white,1.0,2018-07-16,32
8292,18500,2010.0,toyota tacoma,excellent,6.0,gas,155000.0,automatic,SUV,white,1.0,2019-04-02,49
8293,18000,2018.0,subaru forester,excellent,4.0,gas,20000.0,automatic,SUV,red,1.0,2018-11-04,103
8296,7500,2006.0,toyota tundra,good,8.0,gas,221860.0,automatic,truck,silver,1.0,2018-05-23,99
8301,3300,1999.0,jeep cherokee,fair,6.0,gas,216000.0,automatic,SUV,green,1.0,2019-01-01,10
8310,12500,2012.0,jeep grand cherokee,excellent,6.0,gas,96235.0,automatic,SUV,grey,1.0,2019-01-30,30
8319,3700,2007.0,ford explorer,good,6.0,gas,173187.0,automatic,SUV,white,1.0,2018-12-10,51
8324,5000,1994.0,toyota 4runner,good,6.0,gas,184000.0,manual,SUV,black,1.0,2018-05-13,21
8331,18999,2018.0,chevrolet equinox,good,4.0,gas,5274.0,automatic,SUV,silver,1.0,2018-12-08,20
8334,28900,2018.0,chevrolet silverado 1500,good,8.0,gas,1574.0,automatic,truck,white,1.0,2018-10-21,33
8335,25900,2018.0,chevrolet traverse,good,6.0,gas,9949.0,automatic,SUV,green,1.0,2018-06-25,8
8338,19600,2015.0,chevrolet silverado,like new,6.0,gas,70424.0,automatic,truck,white,1.0,2018-12-17,61
8340,15000,2012.0,jeep wrangler,like new,6.0,gas,92200.0,manual,convertible,black,1.0,2018-12-25,46
8343,7500,2006.0,toyota tundra,good,8.0,gas,221860.0,automatic,truck,silver,1.0,2018-09-20,35
8344,11000,1999.0,toyota 4runner,excellent,6.0,gas,269690.0,manual,SUV,green,1.0,2018-10-06,39
8347,29500,2016.0,toyota 4runner,excellent,6.0,gas,89600.0,automatic,SUV,grey,1.0,2019-01-13,40
8349,28995,2015.0,ram 1500,excellent,8.0,gas,39592.0,automatic,truck,grey,1.0,2018-08-15,23
8351,22995,2010.0,ram 2500,excellent,6.0,diesel,186568.0,automatic,truck,silver,1.0,2018-09-05,15
8355,27995,2014.0,ram 3500,excellent,8.0,gas,102235.0,automatic,truck,black,1.0,2019-01-06,35
8358,28995,2012.0,ford f-350 sd,excellent,8.0,diesel,174772.0,automatic,truck,white,1.0,2018-07-07,15
8360,8975,2011.0,jeep grand cherokee,good,6.0,gas,122000.0,automatic,SUV,white,1.0,2018-09-23,14
8362,9750,2007.0,chevrolet silverado 1500,good,8.0,gas,193799.0,automatic,pickup,grey,1.0,2019-04-01,11
8364,29950,2018.0,toyota tacoma,like new,6.0,gas,26400.0,automatic,truck,silver,1.0,2018-09-16,49
8366,10999,2011.0,ram 1500,good,8.0,gas,160966.0,automatic,truck,red,1.0,2018-07-03,20
8373,26500,2014.0,jeep wrangler,like new,6.0,gas,37000.0,automatic,offroad,red,1.0,2018-10-01,49
8376,4500,1995.0,jeep cherokee,good,6.0,gas,194000.0,automatic,SUV,blue,1.0,2018-07-03,29
8378,18900,2013.0,toyota tacoma,good,6.0,gas,94560.0,automatic,truck,grey,1.0,2019-04-11,21
8379,3500,2002.0,jeep grand cherokee,good,8.0,gas,161249.0,automatic,SUV,black,1.0,2018-12-03,96
8383,22000,2014.0,toyota 4runner,excellent,6.0,gas,124853.0,automatic,SUV,red,1.0,2018-12-22,20
8387,24000,2017.0,toyota 4runner,excellent,6.0,gas,73450.0,automatic,SUV,silver,1.0,2018-05-31,37
8389,10995,2010.0,chevrolet suburban,excellent,8.0,gas,174797.0,automatic,SUV,custom,1.0,2019-02-20,2
8390,14995,2007.0,chevrolet silverado 2500hd,good,8.0,diesel,240000.0,automatic,truck,brown,1.0,2018-12-10,6
8395,8225,2014.0,kia sorento,like new,4.0,gas,106145.0,automatic,SUV,silver,1.0,2019-04-01,164
8399,39995,2015.0,chevrolet silverado 2500hd,excellent,8.0,diesel,93036.0,automatic,truck,white,1.0,2019-02-08,6
8400,14995,2005.0,chevrolet silverado 2500hd,excellent,8.0,diesel,193380.0,automatic,truck,grey,1.0,2018-10-31,18
8401,18995,2012.0,ram 3500,excellent,6.0,diesel,297020.0,automatic,truck,silver,1.0,2018-11-27,20
8404,19995,2013.0,ford expedition,excellent,8.0,gas,104901.0,automatic,SUV,black,1.0,2018-11-19,25
8405,15995,2014.0,ford f-150,excellent,8.0,gas,129075.0,automatic,truck,white,1.0,2018-10-03,37
8414,29500,2016.0,toyota 4runner,excellent,6.0,gas,89600.0,automatic,SUV,grey,1.0,2018-12-03,93
8417,25150,2015.0,toyota tacoma,excellent,6.0,gas,53350.0,automatic,truck,white,1.0,2018-07-16,16
8431,7900,2000.0,toyota 4runner,good,6.0,gas,171190.0,manual,SUV,green,1.0,2018-09-03,4
8432,3200,1999.0,toyota 4runner,good,6.0,gas,258990.0,automatic,SUV,green,1.0,2018-07-21,42
8433,14000,2011.0,toyota 4runner,good,6.0,gas,161100.0,automatic,SUV,black,1.0,2018-05-17,13
8434,7500,2001.0,toyota tundra,good,8.0,gas,188730.0,automatic,truck,grey,1.0,2018-10-09,38
8435,9995,2013.0,ram 1500,excellent,8.0,gas,189753.0,automatic,pickup,red,1.0,2018-09-15,96
8441,12900,1998.0,jeep wrangler,excellent,6.0,gas,105096.0,manual,SUV,green,1.0,2019-04-01,85
8442,11250,2004.0,jeep wrangler,good,6.0,gas,117465.0,automatic,SUV,white,1.0,2018-05-25,55
8449,9995,2013.0,subaru outback,excellent,4.0,gas,99577.0,automatic,SUV,white,1.0,2018-06-11,79
8451,5450,2003.0,subaru outback,excellent,4.0,gas,138000.0,automatic,wagon,silver,1.0,2018-07-25,11
8455,12995,2014.0,honda cr-v,excellent,4.0,gas,124000.0,automatic,SUV,brown,1.0,2018-07-02,33
8456,13450,2005.0,jeep wrangler,excellent,6.0,gas,113000.0,automatic,SUV,green,1.0,2019-01-30,27
8462,20000,2011.0,ford f150,like new,8.0,other,155000.0,automatic,truck,black,1.0,2018-12-30,38
8463,15800,2010.0,chevrolet silverado,good,8.0,gas,130500.0,automatic,pickup,white,1.0,2018-05-09,56
8466,34000,2017.0,toyota 4runner,excellent,6.0,gas,28000.0,automatic,SUV,red,1.0,2018-08-25,29
8468,6900,2012.0,ford expedition,excellent,8.0,gas,217860.0,automatic,SUV,silver,1.0,2019-04-13,23
8474,20995,2010.0,ford f-350 sd,excellent,8.0,diesel,141478.0,automatic,truck,black,1.0,2019-01-24,41
8475,34995,2014.0,ford f-250 sd,excellent,8.0,diesel,95242.0,automatic,truck,white,1.0,2019-02-25,60
8476,26995,2014.0,jeep wrangler,excellent,6.0,gas,73522.0,automatic,SUV,grey,1.0,2018-12-16,53
8478,33995,2016.0,ford f-150,excellent,6.0,gas,84939.0,automatic,truck,white,1.0,2018-06-26,65
8493,2995,2004.0,jeep grand cherokee,good,6.0,gas,130156.0,automatic,SUV,red,1.0,2019-03-18,17
8498,1300,2010.0,nissan rogue,good,4.0,gas,143224.0,automatic,SUV,grey,1.0,2018-06-13,10
8501,26000,2006.0,gmc sierra 2500hd,excellent,8.0,diesel,128353.0,automatic,truck,silver,1.0,2018-08-30,9
8510,22900,2018.0,nissan frontier crew cab sv,good,6.0,gas,24402.0,other,pickup,blue,1.0,2018-12-04,32
8514,5500,1995.0,ford f250,good,8.0,diesel,163475.0,automatic,pickup,green,1.0,2018-06-18,25
8515,4600,1997.0,ford f-250,excellent,8.0,gas,119000.0,automatic,pickup,red,1.0,2019-01-05,22
8517,4000,2000.0,toyota tacoma,good,4.0,gas,240000.0,manual,pickup,green,1.0,2019-01-28,56
8518,27800,2016.0,ford f150 supercrew cab xlt,good,6.0,gas,47570.0,other,pickup,white,1.0,2019-04-07,13
8519,11995,2002.0,jeep wrangler,excellent,6.0,gas,86000.0,manual,SUV,red,1.0,2018-09-10,17
8520,6995,2005.0,subaru outback,excellent,4.0,gas,113000.0,automatic,wagon,green,1.0,2018-09-19,59
8521,13995,2004.0,jeep wrangler,excellent,6.0,gas,75000.0,manual,SUV,silver,1.0,2018-09-19,61
8529,30999,2017.0,toyota tacoma,like new,6.0,gas,22500.0,automatic,pickup,grey,1.0,2018-10-23,51
8533,6000,2004.0,ford f-150,excellent,8.0,gas,185125.0,automatic,pickup,grey,1.0,2019-04-15,6
8536,14999,2014.0,toyota tundra,excellent,8.0,gas,127000.0,automatic,pickup,grey,1.0,2019-01-16,55
8539,4900,2005.0,jeep grand cherokee,good,8.0,gas,145850.0,automatic,SUV,silver,1.0,2018-05-20,17
8543,16900,2015.0,honda pilot,like new,6.0,gas,51843.0,automatic,SUV,white,1.0,2018-11-18,20
8548,3400,2002.0,jeep liberty,good,6.0,gas,138000.0,automatic,SUV,silver,1.0,2019-02-19,8
8577,6495,2007.0,subaru forester,excellent,4.0,gas,109345.0,automatic,wagon,silver,1.0,2019-02-10,43
8582,7900,2008.0,ford f-150,excellent,8.0,gas,286375.0,automatic,pickup,white,1.0,2018-09-24,4
8592,31400,2016.0,chevrolet silverado 1500 crew,good,8.0,gas,15070.0,automatic,pickup,black,1.0,2018-05-24,34
8593,5500,2007.0,bmw x5,like new,6.0,gas,137000.0,automatic,SUV,grey,1.0,2019-03-27,18
8604,14000,2009.0,ram 1500,good,8.0,gas,113000.0,automatic,truck,black,1.0,2018-08-25,33
8605,14500,2016.0,honda cr-v,like new,4.0,gas,52388.0,automatic,SUV,silver,1.0,2019-03-13,54
8606,21900,2012.0,jeep wrangler,excellent,6.0,gas,110265.0,automatic,SUV,silver,1.0,2019-01-25,41
8608,19500,2015.0,ford f-150,good,6.0,gas,105000.0,automatic,pickup,white,1.0,2019-04-09,37
8617,15000,2006.0,ram 2500,good,6.0,diesel,275000.0,automatic,truck,grey,1.0,2018-11-26,63
8629,30300,2017.0,ford f150 supercrew cab xlt,good,6.0,gas,30339.0,automatic,pickup,brown,1.0,2018-11-28,48
8641,34900,2015.0,gmc sierra 2500hd,excellent,8.0,diesel,100000.0,automatic,truck,red,1.0,2019-03-15,26
8646,6495,2005.0,ford f-150,excellent,8.0,gas,194070.0,automatic,truck,green,1.0,2018-07-28,19
8651,12950,2011.0,ford f-150,excellent,8.0,gas,149014.0,automatic,truck,silver,1.0,2019-04-12,13
8657,26900,2014.0,ram 2500,excellent,8.0,gas,65000.0,automatic,pickup,black,1.0,2019-04-06,12
8658,9000,2001.0,ford f250 super duty,good,8.0,diesel,247000.0,automatic,truck,red,1.0,2018-09-07,36
8662,14900,2011.0,gmc sierra 1500,like new,8.0,gas,180000.0,automatic,truck,white,1.0,2019-01-26,24
8663,24100,2013.0,chevrolet silverado 1500 crew,good,8.0,gas,55315.0,other,pickup,white,1.0,2018-12-03,52
8668,13995,2011.0,chevrolet tahoe,excellent,8.0,other,95100.0,automatic,SUV,black,1.0,2019-01-04,21
8676,2500,2007.0,ford escape,good,6.0,gas,161900.0,automatic,SUV,brown,1.0,2018-07-26,55
8677,12950,2011.0,ford f-150,excellent,8.0,gas,149014.0,automatic,truck,silver,1.0,2019-03-12,57
8679,24000,2018.0,ford f250 super duty,excellent,8.0,gas,68500.0,automatic,pickup,white,1.0,2018-11-10,34
8683,17995,2010.0,chevrolet silverado 2500hd,excellent,8.0,gas,39000.0,automatic,truck,silver,1.0,2018-10-25,111
8689,9390,2011.0,jeep grand cherokee,excellent,6.0,gas,126631.0,automatic,SUV,black,1.0,2018-05-22,16
8693,23000,2011.0,ford f350 super duty,excellent,8.0,diesel,129000.0,automatic,pickup,silver,1.0,2019-02-27,120
8700,2195,2014.0,buick enclave,excellent,6.0,gas,109004.0,automatic,SUV,black,1.0,2018-11-23,29
8706,24995,2016.0,toyota tacoma,good,6.0,gas,75938.0,automatic,truck,white,1.0,2018-07-20,24
8718,7990,2006.0,ford ranger,good,6.0,gas,82154.0,automatic,truck,silver,1.0,2018-10-03,5
8731,10999,2008.0,toyota tacoma,good,6.0,gas,191507.0,automatic,truck,blue,1.0,2018-05-11,44
8733,11495,2012.0,jeep grand cherokee,good,6.0,gas,121266.0,automatic,SUV,custom,1.0,2018-09-07,20
8734,3995,2003.0,subaru outback,good,6.0,gas,180100.0,automatic,wagon,custom,1.0,2018-07-15,35
8736,7495,2011.0,toyota rav4,good,4.0,gas,169972.0,automatic,SUV,white,1.0,2018-10-16,30
8742,3850,2013.0,chevrolet cruze,excellent,4.0,gas,107.0,automatic,sedan,brown,1.0,2018-07-29,33
8754,33950,2019.0,ford f-150,excellent,8.0,gas,13336.0,automatic,pickup,blue,1.0,2019-04-03,50
8755,29900,2018.0,chevrolet silverado 1500,good,8.0,gas,72677.0,automatic,truck,white,1.0,2018-05-21,45
8763,36900,2014.0,ford f-150,good,8.0,gas,71417.0,automatic,truck,black,1.0,2019-01-02,14
8773,27995,2014.0,jeep wrangler unlimited,like new,6.0,gas,42249.0,manual,SUV,white,1.0,2018-12-27,16
8776,3400,2004.0,honda cr-v,excellent,4.0,gas,191411.0,manual,SUV,grey,1.0,2018-12-31,17
8781,25888,2016.0,jeep wrangler,excellent,6.0,gas,48885.0,automatic,SUV,silver,1.0,2018-06-07,71
8784,6995,2008.0,dodge dakota,good,8.0,gas,135600.0,automatic,truck,red,1.0,2019-02-24,35
8790,5995,2001.0,ford ranger,good,6.0,gas,205588.0,automatic,truck,custom,1.0,2018-10-17,31
8796,16980,2014.0,ford f-150,excellent,8.0,gas,103979.0,automatic,truck,grey,1.0,2018-12-21,34
8798,28500,2016.0,ford f150 supercrew cab xlt,good,6.0,gas,44044.0,other,pickup,black,1.0,2018-05-09,35
8800,1500,2011.0,bmw x5,excellent,6.0,gas,90680.0,automatic,SUV,blue,1.0,2018-08-31,31
8805,3500,2005.0,jeep grand cherokee,good,6.0,gas,199683.0,automatic,SUV,silver,1.0,2018-11-17,16
8814,23777,2016.0,chrysler 300,good,6.0,gas,16948.0,automatic,sedan,black,1.0,2018-08-10,79
8815,25950,2015.0,chevrolet silverado 1500,good,8.0,gas,96186.0,automatic,truck,grey,1.0,2018-11-15,31
8817,6400,2006.0,ford f-150,good,8.0,gas,176000.0,automatic,truck,black,1.0,2018-10-02,85
8824,3600,2009.0,subaru forester,fair,4.0,gas,183215.0,automatic,SUV,red,1.0,2018-06-27,76
8827,10495,2008.0,toyota highlander,excellent,6.0,gas,107835.0,automatic,SUV,grey,1.0,2019-03-28,18
8835,22995,2012.0,ford f-150,good,6.0,gas,112944.0,automatic,truck,brown,1.0,2019-02-21,50
8838,13995,2004.0,ram 2500,good,6.0,diesel,236648.0,automatic,truck,red,1.0,2018-12-30,26
8839,41900,2018.0,jeep wrangler unlimited,excellent,6.0,gas,36975.0,automatic,SUV,white,1.0,2018-07-05,18
8840,50900,2017.0,gmc sierra 2500hd,excellent,8.0,diesel,76351.0,automatic,pickup,silver,1.0,2019-01-21,45
8842,57900,2016.0,gmc sierra 2500hd,excellent,8.0,diesel,28280.0,automatic,pickup,grey,1.0,2018-12-05,51
8843,31995,2015.0,ford f-150,good,6.0,gas,95481.0,automatic,truck,black,1.0,2018-08-03,36
8844,30995,2015.0,gmc sierra 1500,good,8.0,gas,78399.0,automatic,truck,white,1.0,2018-05-03,39
8847,22000,2014.0,chevrolet silverado,good,8.0,gas,111000.0,automatic,pickup,grey,1.0,2018-12-25,17
8849,21950,2014.0,chevrolet silverado 1500,good,8.0,gas,146451.0,automatic,truck,black,1.0,2018-05-04,5
8853,13950,2013.0,ford f-150,good,6.0,gas,241736.0,automatic,truck,white,1.0,2018-07-30,25
8855,4500,2004.0,ram 1500,fair,8.0,gas,121047.0,automatic,pickup,red,1.0,2018-06-28,20
8869,10850,2008.0,ford f-150,excellent,8.0,gas,175610.0,automatic,pickup,blue,1.0,2018-09-18,44
8876,13990,2005.0,toyota tundra,good,8.0,gas,66697.0,automatic,truck,white,1.0,2018-12-22,47
8878,24950,2015.0,chevrolet silverado 1500,good,8.0,gas,117543.0,automatic,truck,grey,1.0,2019-01-21,108
8879,28990,2015.0,ford f-350 sd,good,8.0,diesel,112150.0,automatic,truck,white,1.0,2018-08-02,22
8880,5990,2008.0,ford explorer,good,6.0,gas,137809.0,automatic,SUV,black,1.0,2019-02-18,33
8882,14490,2013.0,chevrolet silverado 3500hd,good,8.0,gas,174100.0,automatic,truck,white,1.0,2019-02-22,24
8889,24990,2015.0,ford f-250 sd,good,8.0,gas,43854.0,automatic,truck,white,1.0,2019-02-19,33
8893,9000,2011.0,toyota rav4,good,4.0,gas,145436.0,automatic,SUV,silver,1.0,2019-01-04,51
8897,2250,1997.0,jeep cherokee,excellent,6.0,gas,236000.0,automatic,SUV,white,1.0,2018-10-15,30
8899,9500,2011.0,chevrolet silverado,excellent,8.0,gas,165000.0,automatic,truck,white,1.0,2018-12-08,54
8901,18490,2015.0,ford f-250 sd,good,8.0,gas,124332.0,automatic,truck,white,1.0,2018-10-03,35
8906,2800,1996.0,jeep cherokee,fair,6.0,gas,114800.0,automatic,SUV,green,1.0,2019-01-30,37
8915,18500,2012.0,gmc sierra 1500,excellent,8.0,gas,88511.0,automatic,truck,black,1.0,2018-12-17,60
8918,12500,2008.0,chevrolet tahoe,excellent,8.0,gas,130801.0,automatic,SUV,silver,1.0,2018-05-22,13
8923,1150,2003.0,ford explorer,excellent,8.0,gas,218534.0,automatic,SUV,silver,1.0,2018-12-31,38
8927,6800,2007.0,ford f-150,like new,8.0,gas,160800.0,automatic,truck,grey,1.0,2018-05-05,35
8929,3650,2010.0,ford escape,like new,4.0,gas,147300.0,automatic,SUV,blue,1.0,2019-01-05,49
8931,4500,2008.0,bmw x5,like new,8.0,gas,146000.0,automatic,SUV,blue,1.0,2019-03-10,25
8932,3650,2009.0,ford escape,like new,4.0,gas,124000.0,automatic,SUV,red,1.0,2018-12-18,59
8934,2800,2004.0,ford escape,like new,6.0,gas,153400.0,other,SUV,white,1.0,2018-12-23,20
8940,16950,2014.0,honda cr-v,excellent,4.0,gas,47717.0,automatic,SUV,white,1.0,2018-06-14,26
8949,10800,2015.0,toyota camry,excellent,4.0,gas,28150.0,automatic,sedan,black,1.0,2019-03-13,16
8952,9400,2009.0,ram 1500,good,8.0,gas,110000.0,automatic,truck,silver,1.0,2018-10-06,8
8957,2200,2003.0,ford escape,good,4.0,gas,158000.0,automatic,truck,black,1.0,2018-06-18,15
8964,38000,2015.0,ram 3500,excellent,6.0,diesel,49000.0,automatic,pickup,white,1.0,2018-11-11,39
8965,29900,2018.0,chevrolet silverado 1500,good,8.0,gas,72677.0,automatic,truck,white,1.0,2018-05-16,68
8966,26900,2015.0,chevrolet silverado 1500,good,8.0,gas,73574.0,automatic,truck,black,1.0,2018-08-09,63
8967,24900,2017.0,chevrolet silverado 1500,good,8.0,gas,100957.0,automatic,truck,white,1.0,2018-11-02,1
8968,29900,2016.0,chevrolet silverado 1500,good,8.0,gas,73179.0,automatic,truck,white,1.0,2018-07-21,6
8971,4800,2003.0,honda accord,excellent,6.0,gas,150000.0,automatic,SUV,green,1.0,2018-11-13,27
8977,5500,2007.0,honda cr-v,like new,6.0,gas,179000.0,automatic,SUV,blue,1.0,2018-12-10,37
8984,2495,2002.0,ford expedition,good,8.0,gas,160000.0,automatic,SUV,red,1.0,2018-05-30,18
8996,17990,2013.0,chevrolet silverado,excellent,8.0,gas,91429.0,automatic,pickup,silver,1.0,2018-11-19,44
8999,18750,2016.0,chevrolet colorado,excellent,6.0,gas,60.0,automatic,truck,blue,1.0,2018-07-29,38
9003,5000,2004.0,chevrolet silverado 1500,fair,8.0,gas,165000.0,automatic,truck,red,1.0,2018-08-04,27
9007,14990,2012.0,buick enclave,excellent,6.0,gas,72228.0,automatic,SUV,red,1.0,2019-02-18,27
9012,5700,2001.0,jeep wrangler,excellent,4.0,gas,148883.0,manual,SUV,red,1.0,2019-01-30,66
